Ref,Val,Package,PosX,PosY,Rot,Side
"D165","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",137.800000,-40.350000,0.000000,top
"D166","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.500000,-40.350000,0.000000,top
"D167","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.200000,-40.350000,0.000000,top
"D168","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.900000,-40.350000,0.000000,top
"D169","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",108.600000,-40.350000,0.000000,top
"D170","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",101.300000,-40.350000,0.000000,top
"D171","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",94.000000,-40.350000,0.000000,top
"D172","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",101.300000,-34.700000,0.000000,top
"D173","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",108.600000,-34.700000,0.000000,top
"D174","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.900000,-34.700000,0.000000,top
"D175","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.200000,-34.700000,0.000000,top
"D176","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",130.500000,-34.750000,0.000000,top
"D177","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.300000,-29.000000,0.000000,top
"D178","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",116.000000,-29.000000,0.000000,top
"D179","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",108.600000,-28.950000,0.000000,top
"D180","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",86.725000,-46.050000,0.000000,top
"D181","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.400000,-63.100000,0.000000,top
"D182","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",57.200000,-91.600000,0.000000,top
